File Name,Authors
test_multiarray.py,"{'Sebastian Berg', 'Joseph R. Fox-Rabinovitz', 'Marten van Kerkwijk', 'Matti Picus', 'Ralf Gommers', 'Raghuveer Devulapalli', 'Gagandeep Singh', 'Alexandre de Siqueira', 'Sayed Adel'}"
test_function_base.py,"{'Sebastian Berg', 'Devin Shanahan', 'abel'}"
test_mem_policy.py,"{'Elias Koromilas', 'mattip'}"
test_generic_alias.py,{'Bas van Beek'}
test_array_object.py,"{'Aaron Meurer', 'Matthew'}"
test_creation_functions.py,{'Aaron Meurer'}
test_einsum.py,{'Sebastian Berg'}
test_nanfunctions.py,{'Sebastian Berg'}
test_deprecations.py,"{'Sebastian Berg', 'Joseph R. Fox-Rabinovitz', 'Marten van Kerkwijk', 'Matti Picus', 'Andrew Murray', 'Peter Hawkins', 'Ralf Gommers'}"
test_dtype.py,"{'Sebastian Berg', 'Geoffrey Gunter'}"
test_generator_mt19937.py,"{'Dimitri Papadopoulos', 'warren', 'Kevin Sheppard', 'Raúl Montón Pinillos'}"
test_public_api.py,"{'Aaron Meurer', 'Thomas Green', 'Sayed Adel'}"
test_simd.py,"{'Sayed Adel', 'HowJMay'}"
test_subclassing.py,"{'Greg Lucas', 'Marten van Kerkwijk'}"
test_extending.py,"{'Charles Harris', 'Matti Picus'}"
test_umath.py,"{'Raghuveer Devulapalli', 'Developer-Ecosystem-Engineering', 'Charles Harris', 'H. Vetinari'}"
test_typing.py,{'Bas van Beek'}
test_string.py,{'Rohit Goswami'}
test_linalg.py,"{'DWesl', 'Ivan Yashchuk', 'Toshiki Kataoka'}"
test_ufunc.py,{'Sebastian Berg'}
test_randomstate_regression.py,{'Kevin Sheppard'}
test_extras.py,{'Ivan Gonzalez'}
test_abstract_interface.py,{'Rohit Goswami'}
test_array_from_pyobj.py,"{'Matti Picus', 'Rohit Goswami'}"
test_assumed_shape.py,{'Rohit Goswami'}
test_common.py,{'Rohit Goswami'}
test_kind.py,{'Rohit Goswami'}
test_mixed.py,{'Rohit Goswami'}
test_module_doc.py,{'Rohit Goswami'}
test_parameter.py,{'Rohit Goswami'}
test_regression.py,"{'Sebastian Berg', 'Rohit Goswami'}"
test_size.py,{'Rohit Goswami'}
test_compile_function.py,{'Rohit Goswami'}
test_io.py,"{'Sebastian Berg', 'Ivan Gonzalez', 'André Elimelek de Weber', 'Ross Barnowski'}"
test_datetime.py,"{'Sebastian Berg', 'drosin'}"
test_block_docstring.py,{'Rohit Goswami'}
test_callback.py,{'Rohit Goswami'}
test_crackfortran.py,"{'Pearu Peterson', 'Damien Caliste', 'Rohit Goswami'}"
test_quoted_character.py,{'Rohit Goswami'}
test_return_character.py,{'Rohit Goswami'}
test_return_complex.py,{'Rohit Goswami'}
test_return_integer.py,{'Rohit Goswami'}
test_return_logical.py,{'Rohit Goswami'}
test_return_real.py,{'Rohit Goswami'}
test_semicolon_split.py,{'Rohit Goswami'}
test_symbolic.py,"{'melissawm', 'Rohit Goswami'}"
test_arraypad.py,{'drosin'}
conftest.py,{'Pierre de Buyl'}
test_scalarmath.py,"{'DWesl', 'Charles Harris'}"
test_umath_accuracy.py,{'H. Vetinari'}
test_core.py,{'serge-sans-paille'}
test_cpu_features.py,"{'Pradipta Ghosh', 'Rafael Cardoso Fernandes Sousa'}"
test_ccompiler_opt.py,"{'Sayed Adel', 'Rafael Cardoso Fernandes Sousa'}"
test_nditer.py,{'Matti Picus'}
test_random.py,{'warren'}
test_casting_unittests.py,{'Sebastian Berg'}
test_scalarprint.py,{'Cornelius Roemer'}
test_elementwise_functions.py,{'Matthew'}
test_api.py,"{'Sebastian Berg', 'Dimitri Papadopoulos'}"
test_indexing.py,"{'Peter Hawkins', 'Dimitri Papadopoulos'}"
test_cython.py,"{'Leo Singer', 'Charles Harris'}"
test_loadtxt.py,"{'Sebastian Berg', 'Ross Barnowski'}"
test_array_coercion.py,{'Andrew Murray'}
test_utils.py,{'Simon Surland Andersen'}
test_data_type_functions.py,{'Matthew Barber'}
test_overrides.py,{'Peter Andreas Entschev'}
runtests.py,{'Ralf Gommers'}
test_dlpack.py,{'Tirth Patel'}
test_numerictypes.py,{'Geoffrey Gunter'}
test_shape_base.py,{'Ganesh Kathiresan'}
