__config__.py,58,18,43%
__init__.py,137,26,70%
_distributor_init.py,0,0,100%
_globals.py,31,16,81%
__init__.py,0,0,100%
test_pyinstaller.py,17,2,42%
_pytesttester.py,53,24,74%
__init__.py,43,22,94%
_add_docstring.py,32,8,100%
_array_like.py,30,8,95%
_char_codes.py,40,0,100%
_dtype_like.py,34,8,98%
_generic_alias.py,106,40,94%
_nbit.py,11,0,100%
_nested_sequence.py,23,6,69%
_scalars.py,12,0,100%
_shape.py,3,0,100%
_version.py,4,0,100%
__init__.py,29,0,100%
_array_object.py,526,210,82%
_constants.py,5,0,100%
_creation_functions.py,121,55,86%
_data_type_functions.py,65,28,78%
_dtypes.py,24,2,100%
_elementwise_functions.py,280,118,61%
_manipulation_functions.py,25,4,48%
_searching_functions.py,15,2,53%
_set_functions.py,29,8,84%
_sorting_functions.py,18,4,59%
_statistical_functions.py,41,20,26%
_utility_functions.py,8,0,88%
linalg.py,156,80,25%
__init__.py,0,0,100%
test_array_object.py,155,192,100%
test_creation_functions.py,93,88,100%
test_data_type_functions.py,5,0,100%
test_elementwise_functions.py,29,26,100%
test_set_functions.py,10,0,100%
test_sorting_functions.py,7,0,100%
test_validation.py,11,4,100%
__init__.py,8,0,100%
_inspect.py,67,40,70%
_pep440.py,198,100,43%
py3k.py,57,16,70%
__init__.py,0,0,100%
test_compat.py,13,8,100%
conftest.py,49,10,83%
__init__.py,89,12,90%
_add_newdocs.py,273,0,100%
_add_newdocs_scalars.py,52,10,100%
_asarray.py,34,18,96%
_dtype.py,162,97,98%
_dtype_ctypes.py,54,26,98%
_exceptions.py,109,36,99%
_internal.py,426,204,83%
_machar.py,191,74,80%
_methods.py,157,76,98%
_string_helpers.py,15,4,63%
_type_aliases.py,123,50,92%
_ufunc_config.py,87,28,90%
arrayprint.py,568,322,94%
defchararray.py,439,76,94%
einsumfunc.py,408,249,96%
fromnumeric.py,356,60,97%
function_base.py,117,52,91%
getlimits.py,232,56,94%
memmap.py,91,38,91%
multiarray.py,104,4,100%
numeric.py,493,154,93%
numerictypes.py,149,54,94%
overrides.py,56,22,77%
records.py,360,198,74%
shape_base.py,192,103,96%
__init__.py,0,0,100%
_locales.py,34,10,80%
test__exceptions.py,55,10,100%
test_abc.py,33,10,100%
test_api.py,393,26,99%
test_argparse.py,27,16,100%
test_array_coercion.py,450,140,94%
test_array_interface.py,57,4,13%
test_arraymethod.py,40,18,91%
test_arrayprint.py,477,76,99%
test_casting_unittests.py,441,146,96%
test_conversion_utils.py,140,76,95%
test_cpu_dispatcher.py,25,10,91%
test_cpu_features.py,103,46,34%
test_custom_dtypes.py,126,20,100%
test_cython.py,74,8,91%
test_datetime.py,1262,124,99%
test_defchararray.py,423,36,100%
test_deprecations.py,701,362,81%
test_dlpack.py,89,14,100%
test_dtype.py,924,172,93%
test_einsum.py,677,118,100%
test_errstate.py,40,20,98%
test_extint128.py,139,100,80%
test_function_base.py,297,40,97%
test_getlimits.py,95,48,93%
test_half.py,325,76,98%
test_hashtable.py,19,6,100%
test_indexerrors.py,97,70,100%
test_indexing.py,825,262,98%
test_item_selection.py,59,28,98%
test_limited_api.py,14,0,100%
test_longdouble.py,220,110,99%
test_machar.py,16,6,73%
test_mem_overlap.py,552,216,73%
test_mem_policy.py,147,28,83%
test_memmap.py,152,20,96%
test_multiarray.py,6187,1356,98%
test_nditer.py,1898,558,97%
test_numeric.py,2392,410,98%
test_numerictypes.py,302,92,98%
test_overrides.py,369,151,96%
test_print.py,82,28,98%
test_protocols.py,30,8,87%
test_records.py,349,36,100%
test_regression.py,1653,215,96%
test_scalar_ctors.py,78,20,100%
test_scalar_methods.py,113,30,95%
test_scalarbuffer.py,86,16,100%
test_scalarinherit.py,70,28,99%
test_scalarmath.py,553,222,96%
test_scalarprint.py,164,28,90%
test_shape_base.py,489,66,99%
test_simd.py,704,278,98%
test_simd_module.py,77,12,99%
test_ufunc.py,1593,284,98%
test_umath.py,2817,831,99%
test_umath_accuracy.py,44,16,32%
test_umath_complex.py,356,76,50%
test_unicode.py,189,70,99%
umath.py,4,0,100%
umath_tests.py,3,0,100%
ctypeslib.py,215,107,87%
__config__.py,58,18,43%
__init__.py,22,0,73%
_shell_utils.py,49,16,83%
armccompiler.py,11,2,69%
ccompiler.py,381,175,33%
ccompiler_opt.py,1009,535,71%
__init__.py,9,2,45%
autodist.py,39,8,17%
bdist_rpm.py,16,8,38%
build.py,26,6,97%
build_clib.py,249,130,11%
build_ext.py,412,220,28%
build_py.py,20,6,31%
build_scripts.py,34,18,17%
build_src.py,539,278,38%
config.py,271,96,14%
config_compiler.py,80,36,68%
develop.py,7,2,67%
egg_info.py,11,4,40%
install.py,40,22,27%
install_clib.py,29,8,35%
install_data.py,10,4,57%
install_headers.py,20,12,19%
sdist.py,19,14,27%
conv_template.py,166,44,13%
core.py,138,86,22%
cpuinfo.py,444,196,49%
exec_command.py,142,74,65%
extension.py,33,12,53%
__init__.py,578,226,41%
absoft.py,97,46,22%
arm.py,44,4,62%
compaq.py,76,26,55%
environment.py,68,32,49%
fujitsu.py,24,4,68%
g95.py,21,4,68%
gnu.py,343,154,24%
hpux.py,26,4,63%
ibm.py,67,26,25%
intel.py,106,20,71%
lahey.py,29,6,51%
mips.py,40,20,33%
nag.py,52,18,50%
none.py,13,4,71%
nv.py,26,4,63%
pathf95.py,19,4,70%
pg.py,69,12,58%
sun.py,32,6,53%
vast.py,32,4,53%
from_template.py,164,60,73%
intelccompiler.py,60,22,54%
lib2def.py,64,30,17%
line_endings.py,58,30,12%
log.py,62,28,82%
mingw32ccompiler.py,284,130,38%
misc_util.py,1148,590,22%
msvc9compiler.py,24,8,31%
msvccompiler.py,21,8,45%
npy_pkg_config.py,204,102,64%
numpy_distribution.py,9,2,91%
pathccompiler.py,10,2,67%
system_info.py,1822,936,32%
__init__.py,0,0,100%
test_build_ext.py,28,16,16%
test_ccompiler_opt.py,275,135,85%
test_ccompiler_opt_conf.py,112,72,79%
test_exec_command.py,141,56,56%
test_fcompiler.py,24,8,94%
test_fcompiler_gnu.py,26,12,100%
test_fcompiler_intel.py,16,8,100%
test_fcompiler_nagfor.py,9,4,100%
test_from_template.py,11,0,100%
test_log.py,22,4,96%
test_mingw32ccompiler.py,24,10,68%
test_misc_util.py,54,20,91%
test_npy_pkg_config.py,47,12,100%
test_shell_utils.py,31,10,76%
test_system_info.py,185,32,90%
unixccompiler.py,69,26,14%
__init__.py,8,4,100%
constants.py,41,8,98%
ufuncs.py,0,0,100%
dual.py,43,6,59%
__init__.py,56,20,38%
__version__.py,1,0,100%
auxfuncs.py,538,288,66%
capi_maps.py,483,318,31%
cb_rules.py,109,74,6%
cfuncs.py,239,77,74%
common_rules.py,107,50,29%
crackfortran.py,2447,1625,44%
diagnose.py,130,22,5%
f2py2e.py,422,281,70%
f2py_testing.py,36,18,9%
f90mod_rules.py,170,68,18%
func2subr.py,230,148,39%
rules.py,265,152,79%
symbolic.py,1004,632,10%
__init__.py,0,0,100%
test_abstract_interface.py,15,2,65%
test_array_from_pyobj.py,420,130,86%
test_assumed_shape.py,31,6,41%
test_block_docstring.py,11,2,85%
test_callback.py,138,46,21%
test_common.py,13,2,73%
test_compile_function.py,44,12,36%
test_crackfortran.py,127,28,75%
test_f2py2e.py,326,80,95%
test_kind.py,13,6,47%
test_mixed.py,15,2,71%
test_module_doc.py,12,2,93%
test_parameter.py,67,2,38%
test_quoted_character.py,8,2,90%
test_regression.py,37,8,64%
test_return_character.py,33,10,44%
test_return_complex.py,46,6,29%
test_return_integer.py,37,6,35%
test_return_logical.py,53,4,30%
test_return_real.py,54,10,39%
test_semicolon_split.py,17,4,90%
test_size.py,32,2,41%
test_string.py,76,20,26%
test_symbolic.py,354,20,5%
util.py,201,78,51%
use_rules.py,43,24,10%
__init__.py,8,0,100%
_pocketfft.py,164,52,93%
helper.py,46,20,94%
__init__.py,0,0,100%
test_helper.py,103,28,100%
test_pocketfft.py,186,42,99%
__init__.py,39,0,100%
_datasource.py,176,68,81%
_iotools.py,352,191,90%
_version.py,75,44,89%
arraypad.py,218,102,99%
arraysetops.py,198,68,99%
arrayterator.py,72,43,88%
format.py,266,111,92%
function_base.py,1209,548,96%
histograms.py,287,122,96%
index_tricks.py,257,124,90%
mixins.py,59,6,100%
nanfunctions.py,305,130,97%
npyio.py,789,502,91%
polynomial.py,439,180,83%
recfunctions.py,556,312,91%
scimath.py,70,8,41%
shape_base.py,257,93,86%
stride_tricks.py,91,46,99%
__init__.py,0,0,100%
test__datasource.py,233,22,98%
test__iotools.py,217,14,100%
test__version.py,39,14,100%
test_arraypad.py,507,84,100%
test_arraysetops.py,517,22,100%
test_arrayterator.py,28,14,95%
test_financial_expired.py,10,4,100%
test_format.py,329,88,92%
test_function_base.py,2561,392,99%
test_histograms.py,497,70,100%
test_index_tricks.py,300,54,99%
test_io.py,1848,375,96%
test_loadtxt.py,523,154,99%
test_mixins.py,123,50,100%
test_nanfunctions.py,841,304,100%
test_packbits.py,167,38,100%
test_polynomial.py,199,6,100%
test_recfunctions.py,519,20,99%
test_regression.py,157,10,95%
test_shape_base.py,496,78,99%
test_stride_tricks.py,299,80,97%
test_twodim_base.py,288,46,100%
test_type_check.py,347,92,100%
test_ufunclike.py,81,10,100%
test_utils.py,100,14,93%
twodim_base.py,179,54,87%
type_check.py,132,36,97%
ufunclike.py,57,10,94%
user_array.py,173,16,38%
utils.py,453,205,62%
__init__.py,6,0,100%
linalg.py,660,252,96%
__init__.py,0,0,100%
test_deprecations.py,8,0,100%
test_linalg.py,1296,307,94%
test_regression.py,89,8,100%
__init__.py,10,0,100%
bench.py,87,6,26%
core.py,2407,1036,90%
extras.py,559,246,81%
mrecords.py,359,164,69%
__init__.py,0,0,100%
test_core.py,3791,262,99%
test_deprecations.py,49,8,100%
test_extras.py,1197,102,99%
test_mrecords.py,331,26,97%
test_old_ma.py,701,56,98%
test_regression.py,59,4,100%
test_subclassing.py,253,26,96%
testutils.py,127,54,73%
timer_comparison.py,336,36,9%
matlib.py,45,8,85%
__init__.py,5,0,100%
defmatrix.py,238,96,91%
__init__.py,0,0,100%
test_defmatrix.py,328,36,100%
test_interaction.py,216,28,97%
test_masked_matrix.py,171,16,98%
test_matrix_linalg.py,35,30,100%
test_multiarray.py,12,2,100%
test_numeric.py,13,2,100%
test_regression.py,21,2,100%
__init__.py,18,4,100%
_polybase.py,419,122,80%
chebyshev.py,357,116,93%
hermite.py,267,88,97%
hermite_e.py,264,88,97%
laguerre.py,252,82,97%
legendre.py,261,86,99%
polynomial.py,221,84,99%
polyutils.py,229,122,97%
__init__.py,0,0,100%
test_chebyshev.py,442,128,100%
test_classes.py,441,40,99%
test_hermite.py,397,114,100%
test_hermite_e.py,397,114,100%
test_laguerre.py,382,114,100%
test_legendre.py,407,114,100%
test_polynomial.py,422,122,100%
test_polyutils.py,81,12,100%
test_printing.py,185,22,100%
__init__.py,17,0,94%
extending.py,20,2,100%
parse.py,34,22,100%
_pickle.py,22,6,79%
__init__.py,0,0,100%
__init__.py,0,0,100%
test_direct.py,373,68,95%
test_extending.py,63,20,41%
test_generator_mt19937.py,1793,175,99%
test_generator_mt19937_regressions.py,93,20,100%
test_random.py,1144,95,99%
test_randomstate.py,1347,109,99%
test_randomstate_regression.py,127,26,96%
test_regression.py,90,22,98%
test_seed_sequence.py,21,2,100%
test_smoke.py,670,68,98%
__init__.py,9,0,100%
__init__.py,0,0,100%
decorators.py,74,30,12%
extbuild.py,94,30,76%
nosetester.py,174,76,8%
utils.py,883,378,76%
print_coercion_tables.py,146,60,7%
__init__.py,0,0,100%
test_doctesting.py,10,2,58%
test_utils.py,1067,320,96%
utils.py,5,0,100%
__init__.py,0,0,100%
test__all__.py,5,2,100%
test_ctypeslib.py,221,22,92%
test_matlib.py,36,0,100%
test_numpy_version.py,14,4,78%
test_public_api.py,132,60,84%
test_reloading.py,33,8,95%
test_scripts.py,27,4,77%
test_warnings.py,46,28,24%
__init__.py,10,2,92%
mypy_plugin.py,71,28,52%
__init__.py,0,0,100%
test_generic_alias.py,63,26,89%
test_isfile.py,10,4,100%
test_runtime.py,44,8,92%
test_typing.py,185,64,36%
version.py,11,0,100%
